Área colhida - Lavouras temporárias
 ;Produto das Lavouras Temporárias;1990;1991#1991;1992#1992;1993#1993;1994#1994;1995#1995;1996#1996;1997#1997;1998#1998;1999#1999;2000#2000;2001#2001;2002#2002;2003#2003;2004#2004;2005#2005;2006#2006;2007#2007;2008#2008;2009#2009;2010#2010;2011#2011;2012#2012;2013#2013;2014#2014;2015#2015;2016#2016;2017#2017;2018#2018;2019#2019;2020#2020;2021#2021;2022#2022;2023#2023
Campinas (SP);Cana-de-açúcar;139499;131577;140137;122469;143659;154207;160860;157023;179281;186589;155794;162039;189325;193779;197127;204467;219431;226408;239757;228982;208496;238300;245636;249089;250397;248479;234875;244963;220187;221362;211080;209081;209651;203996
Campinas (SP);Milho (em grão);76520;107780;99168;85682;70325;87492;83331;90829;84579;100843;102447;104234;107842;113603;118854;113877;112835;93277;102791;92876;79780;89995;95933;92161;87219;89860;90034;85190;79187;71696;65667;61997;62465;58983
Campinas (SP);Soja (em grão);24921;24420;20450;17118;17505;16595;13448;13715;13814;13414;11430;11441;11184;14240;16720;17163;17770;13533;12662;10234;4313;6415;7140;9126;10315;10559;15186;19854;23985;33832;44688;46038;49368;62976

Fonte: "IBGE - Produção Agrícola Municipal"
