Área colhida - Lavouras temporárias
 ;Produto das Lavouras Temporárias;1990;1991#1991;1992#1992;1993#1993;1994#1994;1995#1995;1996#1996;1997#1997;1998#1998;1999#1999;2000#2000;2001#2001;2002#2002;2003#2003;2004#2004;2005#2005;2006#2006;2007#2007;2008#2008;2009#2009;2010#2010;2011#2011;2012#2012;2013#2013;2014#2014;2015#2015;2016#2016;2017#2017;2018#2018;2019#2019;2020#2020;2021#2021;2022#2022;2023#2023
Norte Piauiense (PI);Cana-de-açúcar;2764;2711;2688;2750;2605;2657;806;804;866;866;866;869;869;899;891;875;895;924;875;959;963;950;940;628;697;880;869;869;493;687;747;2633;2616;2870
Norte Piauiense (PI);Milho (em grão);82783;85623;61607;69714;78587;78290;29188;29098;30054;33185;32821;33322;35026;35055;36498;35993;38336;38887;35141;36406;32169;37920;34186;28210;35215;35439;37155;41590;38720;29577;30326;31900;32719;32330
Norte Piauiense (PI);Soja (em grão);0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;15;150;90;140;0;0;0;0;0;1384;2450;1111;2078;1555;2000;2218;2850;2879;2906

Fonte: "IBGE - Produção Agrícola Municipal"
